TrialID;SensorType;ActivityType;Distance_m;GroundTruth;Sensor_output;StartTime;EndTime;Sensor_Time;Date
132;mmWave;Human_walking;3,00;0;0;17:21:30;17:21:45;NA;08-03-2026
133;PIR;Human_walking;3,00;0;0;17:22:00;17:22:15;NA;08-03-2026
133;mmWave;Human_walking;3,00;0;0;17:22:00;17:22:15;NA;08-03-2026
134;PIR;Human_walking;3,00;0;0;17:22:30;17:22:45;NA;08-03-2026
134;mmWave;Human_walking;3,00;0;0;17:22:30;17:22:45;NA;08-03-2026
135;PIR;Human_walking;3,00;0;0;17:23:00;17:23:15;NA;08-03-2026
135;mmWave;Human_walking;3,00;0;0;17:23:00;17:23:15;NA;08-03-2026
136;PIR;Human_walking;3,00;0;0;17:23:30;17:23:45;NA;08-03-2026
136;mmWave;Human_walking;3,00;0;0;17:23:30;17:23:45;NA;08-03-2026
137;PIR;Human_walking;3,00;0;0;17:24:00;17:24:15;NA;08-03-2026
137;mmWave;Human_walking;3,00;0;0;17:24:00;17:24:15;NA;08-03-2026
138;PIR;Human_walking;3,00;0;0;17:24:30;17:24:45;NA;08-03-2026
138;mmWave;Human_walking;3,00;0;0;17:24:30;17:24:45;NA;08-03-2026
139;PIR;Human_walking;3,00;0;0;17:25:00;17:25:15;NA;08-03-2026
139;mmWave;Human_walking;3,00;0;0;17:25:00;17:25:15;NA;08-03-2026
140;PIR;Human_walking;3,00;0;0;17:25:30;17:25:45;NA;08-03-2026
140;mmWave;Human_walking;3,00;0;0;17:25:30;17:25:45;NA;08-03-2026
141;PIR;Dog_walking;3,00;1;1;15:04:30;15:04:39;15:04:36;05-03-2026
141;mmWave;Dog_walking;3,00;1;0;15:04:30;15:04:39;NA;05-03-2026
142;PIR;Dog_walking;3,00;1;1;15:05:50;15:05:58;15:05:53;05-03-2026
142;mmWave;Dog_walking;3,00;1;1;15:05:50;15:05:58;15:05:52;05-03-2026
143;PIR;Dog_walking;3,00;1;1;15:10:09;15:10:16;15:10:13;05-03-2026
143;mmWave;Dog_walking;3,00;1;1;15:10:09;15:10:16;15:10:12;05-03-2026
144;PIR;Dog_walking;3,00;1;0;15:15:33;15:15:41;NA;05-03-2026
144;mmWave;Dog_walking;3,00;1;0;15:15:33;15:15:41;NA;05-03-2026
145;PIR;Dog_walking;3,00;1;0;15:16:15;15:16:23;NA;05-03-2026
145;mmWave;Dog_walking;3,00;1;1;15:16:15;15:16:23;15:16:20;05-03-2026
146;PIR;Dog_walking;3,00;1;1;15:26:45;15:26:52;15:26:49;05-03-2026
146;mmWave;Dog_walking;3,00;1;0;15:26:45;15:26:52;NA;05-03-2026
147;PIR;Dog_walking;3,00;1;1;15:28:06;15:28:14;15:28:08;05-03-2026
147;mmWave;Dog_walking;3,00;1;1;15:28:06;15:28:14;15:28:10;05-03-2026
148;PIR;Dog_walking;3,00;1;0;15:31:29;15:31:37;NA;05-03-2026
148;mmWave;Dog_walking;3,00;1;1;15:31:29;15:31:37;15:31:36;05-03-2026
149;PIR;Dog_walking;3,00;1;1;15:34:26;15:34:35;15:34:29;05-03-2026
149;mmWave;Dog_walking;3,00;1;1;15:34:26;15:34:35;15:34:31;05-03-2026
150;PIR;Dog_walking;3,00;1;1;15:37:15;15:37:22;15:37:18;05-03-2026
150;mmWave;Dog_walking;3,00;1;0;15:37:15;15:37:22;NA;05-03-2026
151;PIR;Dog_walking;3,00;0;0;15:38:39;15:38:58;NA;05-03-2026
151;mmWave;Dog_walking;3,00;0;0;15:38:39;15:38:58;NA;05-03-2026
152;PIR;Dog_walking;3,00;0;0;15:39:19;15:39:36;NA;05-03-2026
152;mmWave;Dog_walking;3,00;0;0;15:39:19;15:39:36;NA;05-03-2026
153;PIR;Dog_walking;3,00;0;0;15:39:55;15:40:10;NA;05-03-2026
153;mmWave;Dog_walking;3,00;0;0;15:39:55;15:40:10;NA;05-03-2026
154;PIR;Dog_walking;3,00;0;0;15:40:27;15:40:46;NA;05-03-2026
154;mmWave;Dog_walking;3,00;0;0;15:40:27;15:40:46;NA;05-03-2026
155;PIR;Dog_walking;3,00;0;0;15:41:02;15:41:20;NA;05-03-2026
155;mmWave;Dog_walking;3,00;0;0;15:41:02;15:41:20;NA;05-03-2026
156;PIR;Dog_walking;3,00;0;0;15:41:37;15:41:55;NA;05-03-2026
156;mmWave;Dog_walking;3,00;0;0;15:41:37;15:41:55;NA;05-03-2026
157;PIR;Dog_walking;3,00;0;0;15:42:12;15:42:30;NA;05-03-2026
157;mmWave;Dog_walking;3,00;0;0;15:42:12;15:42:30;NA;05-03-2026
158;PIR;Dog_walking;3,00;0;0;15:42:51;15:43:06;NA;05-03-2026
158;mmWave;Dog_walking;3,00;0;0;15:42:51;15:43:06;NA;05-03-2026
159;PIR;Dog_walking;3,00;0;0;15:43:22;15:43:39;NA;05-03-2026
159;mmWave;Dog_walking;3,00;0;0;15:43:22;15:43:39;NA;05-03-2026
